"To","From","Average","Sim.Threshold","1985","1986","1987","1988","1989"
"Austria","Belgium",1.8,5.8,0,6,3,0,0
"Austria","Cyprus",0.5,6.5,0,0,0,NA,2
"Austria","Denmark",6.2,6,5,0,7,12,7
"Austria","Finland",0.6,5.8,0,0,0,0,3
"Austria","France",3,5.81000000000001,3,0,0,7,5
"Austria","Germany",3.6,5.8,0,8,10,0,0
"Austria","Greece",0,6.5,0,NA,0,0,0
"Austria","Ireland",8,6,10,12,12,6,0
"Austria","Israel",2,5.81000000000001,7,0,1,2,0
"Austria","Italy",4.25,6.26250000000002,6,NA,6,5,0
"Austria","Luxembourg",3.8,5.8,8,10,0,1,0
"Austria","Norway",3.8,6,12,0,4,3,0
"Austria","Portugal",1.2,6.01000000000001,0,0,0,0,6
"Austria","Spain",3,6.01000000000001,0,7,0,8,0
"Austria","Sweden",4.2,5.8,4,5,0,0,12
"Austria","Switzerland",1.2,5.81000000000001,1,4,0,0,1
"Austria","Turkey",0.4,5.8,0,2,0,0,0
"Austria","United Kingdom",5.6,5.8,2,3,5,10,8
"Belgium","Austria",3.4,6,4,1,0,0,12
"Belgium","Cyprus",0,6.25,0,0,0,NA,0
"Belgium","Denmark",2.8,5.8,3,0,0,7,4
"Belgium","Finland",1.6,6,0,8,0,0,0
"Belgium","France",0.4,6,0,0,0,2,0
"Belgium","Germany",6.4,6,10,7,10,0,5
"Belgium","Greece",0.75,6.25,0,NA,2,0,1
"Belgium","Ireland",6,5.8,8,2,12,5,3
"Belgium","Israel",3.2,6,0,0,6,10,0
"Belgium","Italy",1.75,6.25,2,NA,5,0,0
"Belgium","Luxembourg",3.6,6,0,10,0,8,0
"Belgium","Norway",7,5.8,12,5,7,3,8
"Belgium","Portugal",0.4,5.8,0,0,0,0,2
"Belgium","Spain",3.2,6,0,3,0,6,7
"Belgium","Sweden",3,6,7,0,1,1,6
"Belgium","Switzerland",4.2,5.8,5,12,0,4,0
"Belgium","Turkey",1.4,6.01000000000001,1,6,0,0,0
"Belgium","United Kingdom",4.2,6,6,0,3,12,0
"Cyprus","Austria",2.5,6.25,0,0,0,NA,10
"Cyprus","Belgium",3.75,6.26250000000002,0,10,5,NA,0
"Cyprus","Denmark",2.5,6.5,3,7,0,NA,0
"Cyprus","Finland",3,6.5,6,3,0,NA,3
